Event #	Event Year	Event Day	Loss
410000001	1	16	14782.13511
410000002	1	20	112052.0908
410000003	1	73	27804.69174
920000001	1	253	6064.462432
920000002	1	287	216687.1507
920000003	1	358	32166.91501
920000004	2	24	27954.55207
920000005	2	64	3250.392837
410000004	2	75	27629.50975
920000006	2	85	3629.088779
920000007	2	102	2566720.198
920000008	2	292	642.9458679
920000009	2	297	396722.3755
920000010	2	304	137629.0415
920000011	2	309	143803.3199
410000005	2	342	15775.68348
920000012	2	343	526824.0377
410000006	2	345	69961.37302
410000007	2	349	1223661.296
920000013	2	358	9019.360707
410000008	2	360	15504.09809
920000014	3	12	4447.978387
410000009	3	26	2651246.973
920000015	3	30	490518.4849
920000017	3	305	369379.1354
920000018	3	319	42483.26207
920000019	3	356	2767.172972
920000020	4	19	1085482.311
920000021	4	216	3456.528181
920000022	5	24	910441.3346
920000023	5	103	42903.70782
920000024	5	159	2491.937371
920000025	5	216	1449.77664
920000026	5	341	69985.89384
920000027	5	349	420419.9174
410000010	5	352	508577.4573
920000028	6	21	2410.510278
410000011	6	48	19312.78151
410000012	6	56	684582.0509
410000013	6	71	18631.19959
410000014	6	79	650698.6981
920000029	6	110	18553.04898
920000030	6	143	108877.3603
920000031	6	205	1326565.543
410000015	6	302	14468.56678
410000016	6	315	57644.98512
410000017	6	318	59530.5532
920000032	6	319	9298818.106
410000018	6	326	833808.312
410000019	6	337	44455.00416
920000033	6	340	662141.9051
410000020	6	342	17535.02941
410000021	6	353	24786.20019
410000022	6	356	6166450.917
410000023	6	364	552123.4037
410000024	6	365	78627.32315
410000025	7	4	146894.5369
920000034	7	11	13622.1324
410000026	7	15	48914.25008
410000027	7	18	114221.6593
410000028	7	19	40883708.21
410000029	7	21	13200967.62
910000029	7	21	16390.63554
410000030	7	26	84948.4768
920000035	7	27	89699.73567
410000031	7	38	2753928.929
410000032	7	47	25964.91585
410000033	7	53	529643.95
410000034	7	54	1675376.899
410000035	7	56	1123976.934
410000036	7	59	348388.612
410000037	7	60	16117.41631
410000038	7	68	144497.9926
920000037	7	100	106955.1057
920000038	7	246	681252.7277
920000039	7	264	5018.278399
920000040	7	266	4127463.839
920000041	7	291	136246.2186
920000042	7	316	639003.5943
920000043	7	320	21673.82833
920000044	8	30	121802.3456
920000045	8	52	28005.81167
920000046	8	187	733.9616285
920000047	8	206	6351.762268
920000048	8	253	42052.58933
920000049	8	261	11305.7612
410000039	8	279	17953.34462
410000040	8	280	26247.79035
410000041	8	324	319026.5816
410000042	8	351	20946.43465
410000043	8	357	127864.367
920000050	9	13	56075.83474
410000044	9	58	21387.92046
410000045	9	302	19376.71629
920000051	9	306	3383.891835
410000046	10	3	394358.0144
410000047	10	12	545738.6249
410000048	10	14	2671617.165
410000049	10	25	57490.7454
410000050	10	27	335885.8329
410000051	10	28	405188.33
410000052	10	29	64825.13111
410000053	10	29	33735.58492
410000054	10	29	23584.43647
410000055	10	34	14613.84457
410000056	10	50	3503336.036
410000057	10	51	12509.70767
410000058	10	51	53013.0969
410000059	10	57	170036.2922
410000060	10	77	203370.8233
920000052	10	298	202.4173115
920000053	10	315	3719.658641
920000054	10	318	790360.3155
920000055	10	342	2202057.62
410000061	11	37	12802.90576
410000062	11	88	42446.81841
920000056	11	224	257912.3815
920000057	11	277	39678.63411
920000058	11	303	317813.118
920000060	11	330	27345.46234
920000061	11	342	10723.08921
410000063	11	344	17259.07348
410000064	12	42	23544.85915
410000065	12	48	21554.66493
410000066	12	55	4160604.399
920000063	12	211	37958.09881
920000064	12	230	5359.644413
920000065	12	338	167580.9245
410000067	12	362	20539.9045
920000066	12	362	4289.358773
920000067	13	27	7683.32861
920000068	13	30	7440.272526
410000068	13	35	14641.31992
410000069	13	36	18901.81444
410000070	13	46	24295.67563
410000071	13	47	14125.51547
410000072	13	62	504750.4678
410000073	13	89	22149.11697
920000069	13	125	1603.223778
920000070	13	241	1413001.954
920000071	13	278	122667.1276
920000072	13	296	18825.85963
920000074	13	315	252943.3907
920000075	13	349	27983.74978
410000074	13	353	234798.8446
410000075	14	15	44241.49103
920000077	14	15	738473.3538
