Event #	Event Year	Event Day	Loss
410000001	1	16	15373.4205138662
410000002	1	20	116534.174473814
410000003	1	73	28916.879406902
920000001	1	253	6307.04092935752
920000002	1	287	225354.636717447
920000003	1	358	33453.591613094
100000003	1	360	3333333.0
100000002	2	5	100000.0
920000004	2	24	29072.7341484524
920000005	2	64	3380.40855069786
410000004	2	75	28734.6901400453
920000006	2	85	3774.25232983215
920000007	2	102	2669389.00635611
920000008	2	292	668.663702581413
920000009	2	297	412591.270542195
920000010	2	304	143134.203109191
920000011	2	309	149555.45265333
410000005	2	342	16406.7108238924
920000012	2	343	547896.999158921
410000006	2	345	72759.8279366839
410000007	2	349	1272607.74745327
920000013	2	358	9380.1351352489
410000008	2	360	16124.2620174544
100000005	3	45	123456.0
410000009	3	300	300000.0
